tanggal_operasi_pmks,jenis_pmks,jumlah_pmks
6/8/2020,Anak Terlantar,0
6/8/2020,Lain - Lain,9
6/9/2020,Gelandangan,0
6/9/2020,Pemulung,0
6/9/2020,Pengemis,0
6/9/2020,Anak Jalanan,0
6/9/2020,Pekerja Seks Komersil ,0
6/9/2020,Waria,0
6/9/2020,Psykotik /Orang Dengan Masalah Kejiwaan,1
6/9/2020,Pengamen,1
6/9/2020,Pengedar Kotak Amal,0
6/9/2020,Anak Terlantar,0
6/9/2020,Lain - Lain,10
6/10/2020,Gelandangan,0
6/10/2020,Pemulung,0
6/10/2020,Pengemis,0
6/10/2020,Anak Jalanan,0
6/10/2020,Pekerja Seks Komersil ,0
6/10/2020,Waria,0
6/10/2020,Psykotik /Orang Dengan Masalah Kejiwaan,2
6/10/2020,Pengamen,0
6/10/2020,Pengedar Kotak Amal,0
6/10/2020,Anak Terlantar,0
6/10/2020,Lain - Lain,1
6/11/2020,Gelandangan,0
6/11/2020,Pemulung,0
6/11/2020,Pengemis,0
6/11/2020,Anak Jalanan,0
6/11/2020,Pekerja Seks Komersil ,0
6/11/2020,Waria,0
6/11/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
6/11/2020,Pengamen,0
6/11/2020,Pengedar Kotak Amal,0
6/11/2020,Anak Terlantar,0
6/11/2020,Lain - Lain,1
6/12/2020,Gelandangan,0
6/12/2020,Pemulung,0
6/12/2020,Pengemis,0
6/12/2020,Anak Jalanan,0
6/12/2020,Pekerja Seks Komersil ,0
6/12/2020,Waria,0
6/12/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
6/12/2020,Pengamen,0
6/12/2020,Pengedar Kotak Amal,0
6/12/2020,Anak Terlantar,0
6/12/2020,Lain - Lain,3
6/13/2020,Gelandangan,1
6/13/2020,Pemulung,0
6/13/2020,Pengemis,0
6/13/2020,Anak Jalanan,0
6/13/2020,Pekerja Seks Komersil ,0
6/13/2020,Waria,0
6/13/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
6/13/2020,Pengamen,0
6/13/2020,Pengedar Kotak Amal,0
6/13/2020,Anak Terlantar,0
6/13/2020,Lain - Lain,0
6/14/2020,Gelandangan,1
6/14/2020,Pemulung,0
6/14/2020,Pengemis,0
6/14/2020,Anak Jalanan,0
6/14/2020,Pekerja Seks Komersil ,0
6/14/2020,Waria,0
6/14/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
6/14/2020,Pengamen,0
6/14/2020,Pengedar Kotak Amal,0
6/14/2020,Anak Terlantar,0
6/14/2020,Lain - Lain,6
6/15/2020,Gelandangan,0
6/15/2020,Pemulung,0
6/15/2020,Pengemis,0
6/15/2020,Anak Jalanan,0
6/15/2020,Pekerja Seks Komersil ,0
6/15/2020,Waria,0
6/15/2020,Psykotik /Orang Dengan Masalah Kejiwaan,2
6/15/2020,Pengamen,0
6/15/2020,Pengedar Kotak Amal,0
6/15/2020,Anak Terlantar,0
6/15/2020,Lain - Lain,3
6/16/2020,Gelandangan,1
6/16/2020,Pemulung,0
6/16/2020,Pengemis,0
6/16/2020,Anak Jalanan,0
6/16/2020,Pekerja Seks Komersil ,0
6/16/2020,Waria,0
6/16/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
6/16/2020,Pengamen,0
6/16/2020,Pengedar Kotak Amal,0
6/16/2020,Anak Terlantar,0
6/16/2020,Lain - Lain,2
6/17/2020,Gelandangan,0
6/17/2020,Pemulung,0
6/17/2020,Pengemis,0
6/17/2020,Anak Jalanan,0
6/17/2020,Pekerja Seks Komersil ,0
6/17/2020,Waria,0
6/17/2020,Psykotik /Orang Dengan Masalah Kejiwaan,1
6/17/2020,Pengamen,0
6/17/2020,Pengedar Kotak Amal,0
6/17/2020,Anak Terlantar,0
6/17/2020,Lain - Lain,0
6/18/2020,Gelandangan,1
6/18/2020,Pemulung,0
6/18/2020,Pengemis,0
6/18/2020,Anak Jalanan,0
6/18/2020,Pekerja Seks Komersil ,0
6/18/2020,Waria,0
6/18/2020,Psykotik /Orang Dengan Masalah Kejiwaan,2
6/18/2020,Pengamen,0
6/18/2020,Pengedar Kotak Amal,0
6/18/2020,Anak Terlantar,0
6/18/2020,Lain - Lain,0
6/19/2020,Gelandangan,0
6/19/2020,Pemulung,0
6/19/2020,Pengemis,0
6/19/2020,Anak Jalanan,0
6/19/2020,Pekerja Seks Komersil ,0
6/19/2020,Waria,0
6/19/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
6/19/2020,Pengamen,0
6/19/2020,Pengedar Kotak Amal,0
6/19/2020,Anak Terlantar,0
6/19/2020,Lain - Lain,1
6/20/2020,Gelandangan,0
6/20/2020,Pemulung,0
6/20/2020,Pengemis,0
6/20/2020,Anak Jalanan,0
6/20/2020,Pekerja Seks Komersil ,0
6/20/2020,Waria,0
6/20/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
6/20/2020,Pengamen,0
6/20/2020,Pengedar Kotak Amal,0
6/20/2020,Anak Terlantar,0
6/20/2020,Lain - Lain,0
6/21/2020,Gelandangan,0
6/21/2020,Pemulung,1
6/21/2020,Pengemis,0
6/21/2020,Anak Jalanan,0
6/21/2020,Pekerja Seks Komersil ,0
6/21/2020,Waria,0
6/21/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
6/21/2020,Pengamen,0
6/21/2020,Pengedar Kotak Amal,0
6/21/2020,Anak Terlantar,0
6/21/2020,Lain - Lain,1
6/22/2020,Gelandangan,0
6/22/2020,Pemulung,0
6/22/2020,Pengemis,0
6/22/2020,Anak Jalanan,0
6/22/2020,Pekerja Seks Komersil ,0
6/22/2020,Waria,0
6/22/2020,Psykotik /Orang Dengan Masalah Kejiwaan,1
6/22/2020,Pengamen,0
6/22/2020,Pengedar Kotak Amal,0
6/22/2020,Anak Terlantar,0
6/22/2020,Lain - Lain,3
6/23/2020,Gelandangan,1
6/23/2020,Pemulung,0
6/23/2020,Pengemis,0
6/23/2020,Anak Jalanan,0
6/23/2020,Pekerja Seks Komersil ,0
6/23/2020,Waria,0
6/23/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
6/23/2020,Pengamen,0
6/23/2020,Pengedar Kotak Amal,0
6/23/2020,Anak Terlantar,1
6/23/2020,Lain - Lain,8
6/24/2020,Gelandangan,0
6/24/2020,Pemulung,0
6/24/2020,Pengemis,0
6/24/2020,Anak Jalanan,0
6/24/2020,Pekerja Seks Komersil ,0
6/24/2020,Waria,0
6/24/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
6/24/2020,Pengamen,0
6/24/2020,Pengedar Kotak Amal,0
6/24/2020,Anak Terlantar,0
6/24/2020,Lain - Lain,1
6/25/2020,Gelandangan,1
6/25/2020,Pemulung,0
6/25/2020,Pengemis,0
6/25/2020,Anak Jalanan,0
6/25/2020,Pekerja Seks Komersil ,0
6/25/2020,Waria,0
6/25/2020,Psykotik /Orang Dengan Masalah Kejiwaan,1
6/25/2020,Pengamen,0
6/25/2020,Pengedar Kotak Amal,0
6/25/2020,Anak Terlantar,0
6/25/2020,Lain - Lain,4
6/26/2020,Gelandangan,0
6/26/2020,Pemulung,0
6/26/2020,Pengemis,0
6/26/2020,Anak Jalanan,0
6/26/2020,Pekerja Seks Komersil ,0
6/26/2020,Waria,0
6/26/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
6/26/2020,Pengamen,0
6/26/2020,Pengedar Kotak Amal,0
6/26/2020,Anak Terlantar,0
6/26/2020,Lain - Lain,1
6/27/2020,Gelandangan,0
6/27/2020,Pemulung,0
6/27/2020,Pengemis,0
6/27/2020,Anak Jalanan,0
6/27/2020,Pekerja Seks Komersil ,0
6/27/2020,Waria,0
6/27/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
6/27/2020,Pengamen,0
6/27/2020,Pengedar Kotak Amal,0
6/27/2020,Anak Terlantar,0
6/27/2020,Lain - Lain,1
6/28/2020,Gelandangan,0
6/28/2020,Pemulung,0
6/28/2020,Pengemis,0
6/28/2020,Anak Jalanan,0
6/28/2020,Pekerja Seks Komersil ,0
6/28/2020,Waria,0
6/28/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
6/28/2020,Pengamen,0
6/28/2020,Pengedar Kotak Amal,0
6/28/2020,Anak Terlantar,0
6/28/2020,Lain - Lain,2
6/29/2020,Gelandangan,0
6/29/2020,Pemulung,0
6/29/2020,Pengemis,0
6/29/2020,Anak Jalanan,0
6/29/2020,Pekerja Seks Komersil ,0
6/29/2020,Waria,0
6/29/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
6/29/2020,Pengamen,0
6/29/2020,Pengedar Kotak Amal,0
6/29/2020,Anak Terlantar,0
6/29/2020,Lain - Lain,0
6/30/2020,Gelandangan,0
6/30/2020,Pemulung,0
6/30/2020,Pengemis,0
6/30/2020,Anak Jalanan,0
6/30/2020,Pekerja Seks Komersil ,0
6/30/2020,Waria,0
6/30/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
6/30/2020,Pengamen,0
6/30/2020,Pengedar Kotak Amal,0
6/30/2020,Anak Terlantar,0
6/30/2020,Lain - Lain,0
